طارق حواليك شي ,ham
هههه تمام منيح قلتلي ,ham
😂😂😂😂😂,ham
متل ما قلتلي,ham
شئ شغبا,ham
الاحد عطلة,ham
طالع لعند حلواني شي ,ham
عزمني مبازح ,ham
والله يا صديقي لهلق مو مبين معي ,ham
لانو عندي سفرة من الصبح باتجاه حمص ,ham
منيوك ,ham
وينك,ham
جيتك,ham
منيحة ولو,ham
هههههه ليش نخنا يعني منعرف شو فيها اعطال يا شيح ,ham
😂😂,ham
اليوم ساقتني اسماء ,ham
حكت معي نفس موضوعك,ham
ههههه,ham
ليش شو صاير بشرفك ,ham
حكت معك شي ,ham
والله اليوم على شوي بدي احكي ,ham
والله مو صاير شي ,ham
اليوم انت واسماء ,ham
نفس الحكي ,ham
ايري فيك ,ham
احكي معها هلق وقلها انو بكرى رح اجمعها معك ,ham
وصالحكن ونفض السيرة ,ham
شو ,ham
والله محتار ,ham
مالي داعي تحتار ,ham
خلص رح احكي معها هلق وبخبرك شو بتقلي ,ham
شو لح اقلها ,ham
تقلها,ham
خلص شو بدك انا رح كون موجود بكرى,ham
دقلي ضياء,ham
اي مو مشكلة ,ham
محتار بشرفي ,ham
😂😂,ham
شو تعزمنا اذا تصالحنا,ham
شاورما ,ham
وبكرى,ham
😂😂,ham
والله عندي شغل مع غروبي ,ham
بحاول بكرى ,ham
رو توكل ع الآه,ham
شو لح تبتعتلا,ham
خلص كول ايري ,ham
ليك ليك,ham
ما برضى كون الطرف المبادر انا,ham
اوعك ها ,ham
لا لا ,ham
رح احكيلها نفس الحكي هون ,ham
بنيكك والله,ham
متل ما فتحت السيرة هون ,ham
اي تمام,ham
اكيد اكيد ,ham
واثق فيك يا خرى,ham
لو مو انت والله ما بفتح الموضوع اذا بتكون بنت االه ,ham
انا والله كتير حابب ترجعو متل ما كنتو ,ham
قول يا رب ,ham
لا تقلي ,ham
ههههههه,ham
لتحمل الصورة منشوف الامور,ham
اه هي ام قلب كبير,ham
هلق ,ham
كول ايري هلق ,ham
ماشي مشي ,ham
بكرى منحكي ,ham
كو ايري ,ham
بكرى بتتصالحو وبس ,ham
بحيك ولا ,ham
😘😘,ham
اي عللووش,ham
قال في انتخابات ,ham
لل ١٢٣٠,ham
مافي محاضرات ,ham
مو نازل ,ham
ايري فيك,ham
نقلع من وجهي,ham
لحظة,ham
اي فاتحة ,ham
بس مافي محاضرات ,ham
اي,ham
نزيل لكن,ham
اي تمام,ham
اوووك,ham
لااااا,ham
لاااا جهزلي طيزك ع شاورما والمنيكة بلاها,ham
لااا حبيبي لا ,ham
بلاها للمنيكة,ham
خيو ما خدى قلك تعمل حالك كفو 😂😂,ham
انت قد هل الحكي 😂😂😂,ham
اي قدو ,ham
طيب بدي خليك تنيكني بنص الكلية,ham
اذا بدي احكي معها,ham
ماشي 😂😂,ham
بشرفي ما عم امزح ها 😂😂😂,ham
خلص خلص,ham
بتحكي كلمة تانية ,ham
عليا ماشي ,ham
بس الشاورما غ مين ،,ham
وايري مو عليك,ham
من راسو لايري ,ham
من راسو لايري ,ham
ماشي 😂😂😂,ham
تذكر هل حكي بكرى ها 😂😂😂😂😂,ham
روح على شغلك ولك ,ham
🖕🖕🖕,ham
🖕🖕🖕,ham
🖕🖕🖕,ham
هذا جيش من البواعيص ,ham
يا زلمة,ham
زنخ ززززنخ,ham
رو رو منشان الله,ham
والله ما عم امزح ,ham
ليش مفكر حالك انت شو ,ham
انت بعصة,ham
بس مختلفة شوي,ham
يا لطيف ,ham
يا لطيف يا ربي دخيلك,ham
تبعين الخامسة هيك بيصيرو ,ham
يا لطيف والله ,ham
اييي نعم ,ham
ايري فيك تعا خلص طيزي ,ham
وينننك ابري ,ham
خرى,ham
حزير ,ham
شو ,ham
شريييك,ham
هي لين تحت اللله بحارة ,ham
مخ يا زلمة مخ ,ham
لعشاق كرة القدم كل أخبار فريقك المفضل رح تصلك على موبايلك وكأنك بالملعب من خدمة كلاسيكو، اطلب 117 وفعّل الخدمة اللي بتهمّك بكلفة 25 لس أسبوعيا,spam
كل شي بيتعلق بالأمور العاطفية الاجتماعية العمل و الصحة رح تصلك يومياً مع عالمة الفلك غالية بكفلاوي اطلب 152 واختار برجك بكلفة 40 لس أسبوعياً,spam
هههه تمام منيح قلتلي ,ham
موبايلو هون الحمار😂😂,ham
كيفك عللوش,ham
شو بين شي معك ,ham
ياا ويلكم ,ham
والله شكلو ما خرج اجي,ham
لانو لهلق اسعتني على الطريق ,ham
لا اذا مو رايحين غالبا ما اطلع انا,ham
شو تخيل روح لحالي ايزي فيكن ,ham
وطارق كمان مو  رايح ,ham
غالباً يروح عبادة,ham
واكيد موجودين طبيعة وزعيم,ham
بعدين انت رايح مشان حلواني ,ham
لك يا اخي لحالي مو خرج ,ham
لك يا اخي لحالي مو خرج ,ham
وين انت وين صرت ,ham
ههههههههه اي لحالي ايري فيك,ham
انا من شي نص ساعة طلعت من حمص ,ham
اي تمام كتير منيح ,ham
معناها بتلحق 😂,ham
كول خرى بتروح معناخاً,ham
ما خرج ,ham
يلا ناطرك انا لا تتاخر ,ham
شو لح تتزوج انت ,ham
واذا ما عندك شي,ham
تخيل يعني وصل علبيت والبس واجي فوراً ,ham
ههههههههه واذا بتعطر الصالة 😂,ham
شيل اكل الخرى ,ham
بتجي ولا لااا,ham
لا لا ما خرج,ham
تخيل لا انت ولا طارق ولا انا نروح ,ham
يلا بشوف شو بيصير معي ,ham
تركها ع تيسير بشوف شو بصير معي وبخبرك,ham
مين رايح بس منعرفه منبح نحنا ,ham
يلي من الكلية ,ham
طبيعة,ham
زعيم,ham
ويمكن عبادة خيطو ,ham
يمكن مو اكيد,ham
طيب ماشي ,ham
بتعرف وين المكان ,ham
الساعة 8 بمجمع ايليت بلازا بصالة ماريا بالميدان ناح البوابة,ham
اوكيشن ,ham
منيوك ,ham
وينك,ham
ولا ,ham
ايري,ham
يلا بس يفتح الباب مسكر ,ham
دقيقين بس بعتلك رسالة طلاع لعند الكشك ,ham
انا ع باب السكن ,ham
تماما 😂😂😂😂😂,ham
لاقيلي ,ham
يلا,ham
واقفين سوووى 😂😂😂😂😂,ham
شو مطول ,ham
المحاضرة 3 ساعات,ham
مطول ,ham
شو ايمتا الاستراحة تبعك ,ham
تعال قدام الخامس ,ham
وبنك ,ham
جيتك,ham
وينك,ham
ووووينك ,ham
وووووووينك ,ham
ايري فيك وووينك,ham
عند سانا ,ham
ناطرك يلا ,ham
عند الكشك ,ham
وينك,ham
وينك يا شحبة,ham
بخشي مو طالع بريك ,ham
ليكني طالع لقدام الباب,ham
اي مشي الحال ,ham
مطول انت ,ham
بدنا نجتمع هلق مشان نحكي بخصوص المشروع ,ham
تعا لك بورن,ham
ايري فيك ,ham
فيك إيريز,ham
ايرررررري فيك ,ham
 طلاع خلص وحكيني ,ham
بدي نت ضروري قي شغل,ham
مستر ,ham
بالله اذا بتحسن اسألي ابراهيم ليش ايقاف الدوام ,ham
ايري فيك تعا خلص طيزي ,ham
وينننك ابري ,ham
خرى ,ham
بخواش ,ham
تكسرت شاشة الموبايل يا علوش ,ham
كمان ,ham
ما قبل الفكرة ,ham
يا زلمة طالعت اليوم بشغلة ٣٠ الف,ham
والله العظيم قبل ما اخدها انكسرت,ham
